"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",7.075,47.288,NA,"PRESENT",3535,NA,NA
"Betula nana L.",6.232,46.562,NA,"PRESENT",3535,NA,NA
"Betula nana L.",6.617,46.971,NA,"PRESENT",3535,NA,NA
"Betula nana L.",6.944,47.197,NA,"PRESENT",3535,NA,NA
"Betula nana L.",21.474,66.093,NA,"PRESENT",400,"SLU Artdatabanken",NA
"Betula nana L.",14.897,59.356,NA,"PRESENT",250,"SLU Artdatabanken",NA
"Betula nana L.",16.9,60.719,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",20.479,68.473,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",20.437,68.482,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",21.071,68.445,NA,"PRESENT",250,"SLU Artdatabanken",NA
"Betula nana L.",21.031,68.457,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",20.866,68.456,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",20.895,68.471,NA,"PRESENT",250,"SLU Artdatabanken",NA
"Betula nana L.",15.788,59.644,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",15.894,63.203,NA,"PRESENT",50,"SLU Artdatabanken",NA
"Betula nana L.",20.421,63.827,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",18.338,62.939,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",14.791,59.359,NA,"PRESENT",5,"SLU Artdatabanken",NA
"Betula nana L.",12.12,63.299,NA,"PRESENT",304,"SLU Artdatabanken",NA
"Betula nana L.",13.806,63.119,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",15.504,65.26,NA,"PRESENT",6,"SLU Artdatabanken",NA
"Betula nana L.",14.883,57.384,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",14.683,59.383,NA,"PRESENT",150,"SLU Artdatabanken",NA
"Betula nana L.",17.736,62.549,NA,"PRESENT",100,"SLU Artdatabanken",NA
"Betula nana L.",14.042,57.747,NA,"PRESENT",750,"SLU Artdatabanken",NA
"Betula nana L.",18.199,67.521,NA,"PRESENT",1500,"SLU Artdatabanken",NA
"Betula nana L.",18.815,68.347,NA,"PRESENT",200,"SLU Artdatabanken",NA
"Betula nana L.",15.739,59.711,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",12.832,61.948,NA,"PRESENT",75,"SLU Artdatabanken",NA
